contract,network,type,rating,total_ratings,website,google_url,name,phone_number,status
10345590,Master Ouro,Credenciado Direto,5.0,1,,https://maps.google.com/?cid=15138211623312680562,Consultório de Psicologia - Andrea,(41) 3339-3801,OPERATIONAL
10387943,Master Ouro,Credenciado Direto,4.1,24,https://www.doctoralia.com.br/yau-wing-wah/ginecologista/osasco?utm_source=google&utm_medium=gmb&utm_campaign=413480&utm_content=website,https://maps.google.com/?cid=1003642943196152665,"Dr. Yau Wing Wah, Ginecologista",,OPERATIONAL
10391355,Master Ouro,Credenciado Direto,5.0,9,https://www.angioclinltda.com.br/,https://maps.google.com/?cid=2180552826872499915,Dr Luiz Akira,(12) 3921-6574,OPERATIONAL
10391797,Master Ouro,Credenciado Direto,3.6,9,,https://maps.google.com/?cid=7697353274698382566,Glaucio Costa Oliveira,,OPERATIONAL
10392041,Master Ouro,Credenciado Direto,,0,http://horizonteterapeutico.com.br/,https://maps.google.com/?cid=3084076149146775589,Horizonte Terapeutico,(11) 3231-1912,OPERATIONAL
10413103,Master Ouro,Credenciado Direto,4.9,76,http://drasilviasabbagmendez.com/?utm_source=gmb&utm_medium=referral,https://maps.google.com/?cid=9960294507898590056,Dra. Silvia Sabbag Mendez,(11) 99747-2121,OPERATIONAL
10441026,Master Ouro,Credenciado Direto,4.6,22,,https://maps.google.com/?cid=15604809179453261649,Dr. Thomas Moscovitz,(11) 3812-8188,OPERATIONAL
12003182,Master Ouro,Credenciado Direto,5.0,3,,https://maps.google.com/?cid=215881815623442851,Márcia Félix Fono,(21) 2605-2400,OPERATIONAL
19301477,Master Ouro,Credenciado Direto,4.5,60,,https://maps.google.com/?cid=10952589711665042534,Anita Id Martinez,(11) 2205-7052,OPERATIONAL
19301683,Master Ouro,Credenciado Direto,4.5,15,,https://maps.google.com/?cid=10200366678079456347,Marcelo José Bernardes,(11) 5523-3151,OPERATIONAL
19301868,Master Ouro,Credenciado Direto,4.2,46,,https://maps.google.com/?cid=7472188636547649787,Augusto César Albuquerque Monteiro,(21) 2416-3079,OPERATIONAL
19301987,Master Ouro,Credenciado Direto,,0,,https://maps.google.com/?cid=1750970197814475974,Jailton Dantas,(85) 3264-1338,OPERATIONAL
19302032,Master Ouro,Credenciado Direto,4.3,6,http://www.ivansemenovitch.dermatosbd.org.br/,https://maps.google.com/?cid=2847874064836074977,Clínica Doutor Ivan Semenovitch,(21) 3282-5520,OPERATIONAL
19302136,Master Ouro,Credenciado Direto,4.6,31,,https://maps.google.com/?cid=7946189376293189857,Dr. Ivan Fernandes,(15) 3221-8077,OPERATIONAL
19302466,Master Ouro,Credenciado Direto,3.8,47,,https://maps.google.com/?cid=11328336996605563437,Centro Médico Nagao,(11) 2215-2200,OPERATIONAL
19302522,Master Ouro,Credenciado Direto,4.3,6,,https://maps.google.com/?cid=1349190028381481208,Regina Célia Silva de Santana,(21) 2575-4677,OPERATIONAL
19302683,Master Ouro,Credenciado Direto,4.3,7,,https://maps.google.com/?cid=5684562677490750191,Pediatria Dra Gloria Cruz Dra Marcia Cruz,(21) 2609-6797,OPERATIONAL
19302793,Master Ouro,Credenciado Direto,4.6,41,http://www.ofta.com.br/,https://maps.google.com/?cid=13562449491356652958,Ofta Oftalmologia Especializada (unidade Itanhaém),(13) 3422-4548,OPERATIONAL
19304499,Master Ouro,Credenciado Direto,,0,http://www.tatianaforlenza.com.br/,https://maps.google.com/?cid=4229319982063811273,Consultório de Psicologia - Tatiana Forlenza,(11) 99974-2734,OPERATIONAL
19304709,Master Ouro,Credenciado Direto,5.0,1,,https://maps.google.com/?cid=1741264481198046294,Willian Assad Sassine,(27) 3223-3733,OPERATIONAL
19304856,Master Ouro,Credenciado Direto,4.2,11,,https://maps.google.com/?cid=7529125626863694121,Bento B Cintra Jr,(11) 3831-9610,OPERATIONAL
19305007,Master Ouro,Credenciado Direto,,0,https://www.doctoralia.com.br/pricila-gama-da-cunha/generalista-especialista-em-medicina-nuclear/sao-paulo?utm_source=google&utm_medium=gmb&utm_campaign=745071&utm_content=website,https://maps.google.com/?cid=3993896884327897020,"Dra. Pricila Gama da Cunha, Generalista",,OPERATIONAL
19305011,Master Ouro,Credenciado Direto,5.0,13,https://www.ecoamulher.com/contato,https://maps.google.com/?cid=6605341637615465562,Cibele Albuquerque,(11) 97359-3566,OPERATIONAL
19305920,Master Ouro,Credenciado Direto,4.0,2,,https://maps.google.com/?cid=13678206653376702058,Duo Clinic,(11) 4666-6190,OPERATIONAL
19305941,Master Ouro,Credenciado Direto,4.5,8,,https://maps.google.com/?cid=4331724409037927305,Clínica Médica - Dra. Bruna Malburg,(12) 3921-2688,OPERATIONAL
19305972,Master Ouro,Credenciado Direto,,0,http://sueliidarodrigues.com.br/,https://maps.google.com/?cid=14803473415880931422,Psicóloga Sueli Ida Rodrigues,(11) 99703-9124,OPERATIONAL
19305984,Master Ouro,Credenciado Direto,5.0,17,https://linktr.ee/caldeira655,https://maps.google.com/?cid=6143354733260797803,Clínica de Nutrição Daniel caldeira Equipe Daniel Silva e Leandro Thome WhatsApp - 31 98607-3535 31- 99294-9096 - 31 98666-8728,(31) 3335-3535,OPERATIONAL
19306097,Master Ouro,Credenciado Direto,5.0,6,https://michelly-da-silva-bezerra.negocio.site/,https://maps.google.com/?cid=16377472938485674642,Michelly da Silva Bezerra,(81) 3082-7761,OPERATIONAL
19306265,Master Ouro,Credenciado Direto,3.5,2,,https://maps.google.com/?cid=13616055073504635442,Maria Olívia Oliveira Marques ( falecida).,(21) 2269-2693,OPERATIONAL
19306393,Master Ouro,Credenciado Direto,3.7,57,,https://maps.google.com/?cid=4039594542618908523,DR VINICIUS PENA,(11) 3683-2895,OPERATIONAL
19306651,Master Ouro,Credenciado Direto,5.0,2,https://cubepsicologia.com.br/,https://maps.google.com/?cid=7114275250691277,Cube Psicologia,(11) 94535-7690,OPERATIONAL
19307076,Master Ouro,Credenciado Direto,5.0,3,https://pt-br.facebook.com/fonoannebenedito/,https://maps.google.com/?cid=4107165034841605502,Fonoaudióloga Anne Caroline L. Benedito,(44) 3029-3364,OPERATIONAL
19307256,Master Ouro,Credenciado Direto,4.9,18,https://psicologaclaudiagomes-terapia-emdr.negocio.site/?utm_source=gmb&utm_medium=referral,https://maps.google.com/?cid=16005750990149616630,Psicóloga especialista clínica Claudia Gomes| Terapia EMDR Santana Zona Norte| EMDR Lapa Zona Oeste,(11) 98135-5524,OPERATIONAL
19307297,Master Ouro,Credenciado Direto,,0,,https://maps.google.com/?cid=12502458370103615516,Bete Russo,(11) 99106-4286,OPERATIONAL
19307311,Master Ouro,Credenciado Direto,,0,https://brunno-magela-campos-r-pinto.negocio.site/,https://maps.google.com/?cid=8606508057554890958,Brunno Magela Campos R Pinto,(21) 4128-4711,OPERATIONAL
19307337,Master Ouro,Credenciado Direto,,0,https://www.doctoralia.com.br/antonia-de-fatima-gomes-fortaleza/psicologo/osasco,https://maps.google.com/?cid=2796103640329365322,ANTONIA DE FATIMA GOMES FORTALEZA,(11) 95039-5047,OPERATIONAL
19307397,Master Ouro,Credenciado Direto,,0,http://www.shoppingicarai.com/index.php/salas,https://maps.google.com/?cid=1912908922617395125,Marcia Vianna de Souza - Cardiologia,(21) 3629-8667,OPERATIONAL
19307403,Master Ouro,Credenciado Direto,,0,http://www.psicopedagogiarosangela.com.br/contato.html,https://maps.google.com/?cid=7966923608956347827,TRATAMENTOS,(11) 5041-2964,OPERATIONAL
20000017,Master Ouro,Hospitais,4.2,11,https://www.megoftalmoday.com.br/,https://maps.google.com/?cid=4702322964388278973,MEG OftalmoDay,(71) 3358-2260,OPERATIONAL
20000574,Master Ouro,Diagnósticos,4.0,28,https://www.fleury.com.br/unidades/granja-viana,https://maps.google.com/?cid=13788110821920373153,FLEURY GRANJA VIANA,(11) 3179-0822,OPERATIONAL
20000590,Master Ouro,Diagnósticos,3.5,213,http://www.delboniauriemo.com.br/,https://maps.google.com/?cid=4268950613850037274,Delboni,,OPERATIONAL
20001998,Master Ouro,Diagnósticos,4.3,35,http://www.senneliquor.com.br/,https://maps.google.com/?cid=2863578194966020343,Senne Liquor Diagnóstico - São Paulo,(11) 3286-8989,OPERATIONAL
20001999,Master Ouro,Diagnósticos,,0,,https://maps.google.com/?cid=16148592079733616125,Centro Tomografia Por Computador,(11) 3171-2416,CLOSED_PERMANENTLY
20002119,Master Ouro,Diagnósticos,3.4,104,http://www.cda.med.br/,https://maps.google.com/?cid=6965186919002278642,Centro de Diagnósticos Avançados Renaud Scan,(21) 2424-6111,OPERATIONAL
20002232,Master Ouro,Diagnósticos,1.0,1,http://laboratoriomattosinho.com.br/,https://maps.google.com/?cid=15532738409965099574,Laboratório Mattosinho de Patologia,(11) 3874-2800,OPERATIONAL
20002313,Master Ouro,Diagnósticos,3.4,14,http://www.laboratorioferdinando.com.br/,https://maps.google.com/?cid=13119992894009337285,Lab Ferdinando Costa Patologia Cirúrgica,(11) 5574-5200,OPERATIONAL
20002364,Master Ouro,Diagnósticos,3.1,7,https://www.perfillab.com/,https://maps.google.com/?cid=9539007906383063232,Perfil Lab,(11) 5686-0406,OPERATIONAL
20002445,Master Ouro,Diagnósticos,4.0,69,http://www.villelapedras.com.br/,https://maps.google.com/?cid=17057622784696384586,Clínica de Medicina Nuclear Villela Pedras - Unidade Centro,(21) 3511-8181,OPERATIONAL
20002470,Master Ouro,Diagnósticos,4.4,36,http://www.laboratoriorauldias.com.br/,https://maps.google.com/?cid=10433410956500119078,Laboratório Clínico Raul Dias dos Santos,(11) 3284-2614,OPERATIONAL
20002488,Master Ouro,Diagnósticos,2.8,117,https://cura.com.br/,https://maps.google.com/?cid=13619834633755569201,CURA Medicina Diagnóstica - Moema,(11) 3056-4707,OPERATIONAL
20002500,Master Ouro,Diagnósticos,3.9,18,http://www.hemocito.com.br/,https://maps.google.com/?cid=12011677164708771995,Hemocito Laboratório de Análises Clínicas e Citologia,(11) 2273-5088,OPERATIONAL
20002607,Master Ouro,Clinicas,,0,,https://maps.google.com/?cid=12262739879457012002,Banco de Sangue de São Paulo e Serviços de Hemoterapia,(11) 3845-1382,OPERATIONAL
20002658,Master Ouro,Diagnósticos,,0,,https://maps.google.com/?cid=4582806520492284124,Ibrason Instituto Brasileiro de Ultrassonografia Ltda,(21) 2567-6632,OPERATIONAL
20002763,Master Ouro,Diagnósticos,,0,https://www.wmdiagnosticos.com.br/unidades/santo-andre/,https://maps.google.com/?cid=15491138535750693994,Wiermann & Miranda Santo André,(11) 4223-4040,OPERATIONAL
20002798,Master Ouro,Diagnósticos,2.6,84,http://www.irmrj.com.br/,https://maps.google.com/?cid=8589939992003977118,IRM Ressonância Magnética,(21) 2537-3484,OPERATIONAL
20002941,Master Ouro,Clinicas,4.3,7,,https://maps.google.com/?cid=10328121992925154441,Neurolab,(21) 3182-8282,OPERATIONAL
20002984,Master Ouro,Diagnósticos,,0,https://cedorj.com.br/,https://maps.google.com/?cid=12329883286969915555,CEDORJ - Centro Densitometria Óssea Rio de Janeiro,(21) 3182-8268,OPERATIONAL
20003439,Master Ouro,Diagnósticos,2.4,66,http://www.clinicaub.com.br/,https://maps.google.com/?cid=2331272407513033195,Clínica UB - Ultrassonografia Botafogo,(21) 3107-9898,OPERATIONAL
20003463,Master Ouro,Diagnósticos,2.0,30,http://www.lifeimagem.com.br/,https://maps.google.com/?cid=17415376716144769641,LIFE IMAGEM UNIDADE TIJUCA,(21) 2212-6200,OPERATIONAL
20003510,Master Ouro,Clinicas,,0,https://cedorj.com.br/,https://maps.google.com/?cid=12329883286969915555,CEDORJ - Centro Densitometria Óssea Rio de Janeiro,(21) 3182-8268,OPERATIONAL
20003552,Master Ouro,Diagnósticos,2.8,20,http://www.tecnolab.com.br/,https://maps.google.com/?cid=4668577792959526890,TECNOLAB Medicina Diagnóstica,(11) 2824-3200,OPERATIONAL
20003684,Master Ouro,Diagnósticos,2.6,262,http://rochalima.com.br/,https://maps.google.com/?cid=5585425342542031958,Laboratório Rocha Lima - Unidade Centro,(11) 4229-3544,OPERATIONAL
20003730,Master Ouro,Diagnósticos,4.7,46,http://www.cpe.med.br/,https://maps.google.com/?cid=4848308888560216287,Centro Paulista de Endoscopia,(11) 3149-4799,OPERATIONAL
20003862,Master Ouro,Diagnósticos,4.3,7,https://www.labittar.com.br/,https://maps.google.com/?cid=9287335211368770669,Laboratório Bittar,(21) 2621-6161,OPERATIONAL
20003870,Master Ouro,Diagnósticos,1.0,1,http://www.ibram-cintilab.com.br/,https://maps.google.com/?cid=14943044325740539856,CINTILAB - Exames Especializados Ltda,(21) 2613-2627,OPERATIONAL
20003889,Master Ouro,Diagnósticos,2.7,10,https://www.ibram-cintilab.com.br/,https://maps.google.com/?cid=8322378923290665071,IBRAM-CINTILAB / Niteroi Shopping,(21) 2613-2627,OPERATIONAL
20003935,Master Ouro,Diagnósticos,3.1,183,http://www.imagemicarai.com.br/,https://maps.google.com/?cid=13483624984349979573,Centro de Imagem Icaraí Unidade I,(21) 2717-0910,OPERATIONAL
20004001,Master Ouro,Clinicas,4.2,5,http://www.enfmedlife.com.br/,https://maps.google.com/?cid=12308632530206799146,Enf Med Life,(21) 3602-2357,OPERATIONAL
20004095,Master Ouro,Diagnósticos,3.7,6,http://www.laboratoriolaborclin.com.br/,https://maps.google.com/?cid=2450921739038883384,Labor Clin,(11) 4436-3699,OPERATIONAL
20004150,Master Ouro,Diagnósticos,4.3,65,http://www.ultralabultrassonografia.com.br/,https://maps.google.com/?cid=10598925473557257224,Ultralab Ultrassonografia e Laboratórios Integrados,(11) 2297-0277,OPERATIONAL
20004273,Master Ouro,Diagnósticos,3.5,371,http://www.cedime.com.br/,https://maps.google.com/?cid=6813741004479020930,Cedime Centro de Diagnóstico Medico,(11) 4615-1200,OPERATIONAL
20004303,Master Ouro,Diagnósticos,,0,http://www.idengene.com.br/,https://maps.google.com/?cid=8490537733310317312,IdenGene Medicina Diagnóstica,(11) 2663-8800,OPERATIONAL
20004400,Master Ouro,Diagnósticos,4.3,912,https://unimagemrj.com.br/,https://maps.google.com/?cid=10621789339854320436,Unimagem Medicina Diagnóstica,(21) 3716-9550,OPERATIONAL
20004460,Master Ouro,Diagnósticos,3.1,87,http://clinicarj.com.br/,https://maps.google.com/?cid=7172418527567253453,Clínica de Radiologia Rio de Janeiro,(21) 2672-9072,OPERATIONAL
20004478,Master Ouro,Diagnósticos,2.5,177,https://www.dimagemdiagnostico.com/,https://maps.google.com/?cid=298643862318045025,Dimagem - Nilopolis,(21) 3514-6400,OPERATIONAL
20004516,Master Ouro,Diagnósticos,3.3,221,,https://maps.google.com/?cid=4617060010617351706,Clínica São Marcos,(31) 3295-3306,OPERATIONAL
20004524,Master Ouro,Diagnósticos,3.4,75,https://www.gndi.com.br/nossas-unidades/centros-clinicos/?utm_source=google&utm_medium=maps&utm_campaign=icherryC025,https://maps.google.com/?cid=13091228906884155295,Centro Clínico Ribeirão Pires,(11) 4090-1740,OPERATIONAL
20004591,Master Ouro,Diagnósticos,2.3,11,,https://maps.google.com/?cid=13970054804517033920,Domi Laboratorio,(21) 97370-4353,OPERATIONAL
20004621,Master Ouro,Diagnósticos,3.0,153,,https://maps.google.com/?cid=16362235717383375720,ED,(11) 5524-4415,OPERATIONAL
20004630,Master Ouro,Diagnósticos,1.7,71,http://aciterar.com/6EXk,https://maps.google.com/?cid=7474924617482862889,Labhormon - Unidade Mauá,(11) 4433-3233,OPERATIONAL
20004656,Master Ouro,Diagnósticos,,0,,https://maps.google.com/?cid=5594492791826065584,Medical Laboratório Análises Clínicas,(11) 4396-7649,OPERATIONAL
20004702,Master Ouro,Diagnósticos,4.2,202,http://www.rxricardocampos.com.br/,https://maps.google.com/?cid=10196068203244330215,Clínica Ricardo Campos,3003-9221,OPERATIONAL
20004710,Master Ouro,Diagnósticos,4.7,3,http://pascoto.com.br/,https://maps.google.com/?cid=4074272775606936899,Laboratório de Análises Clínicas Pascoto Niteroi,(21) 2621-6238,OPERATIONAL
20004770,Master Ouro,Diagnósticos,2.3,17,http://www.facebook.com/clinicaruyrodrigues/,https://maps.google.com/?cid=13038239321654052116,Clínica Radiológica Ruy Rodrigues,(21) 2596-8512,OPERATIONAL
20004850,Master Ouro,Diagnósticos,,0,,https://maps.google.com/?cid=6473068816910898853,Prontolab Laboratorio de Analis Clinicas,,OPERATIONAL
20004885,Master Ouro,Diagnósticos,4.6,24,http://www.laclin.com.br/,https://maps.google.com/?cid=11337150402545675537,Laclin Lab. Análises Clínicas - Resende,(24) 3355-1704,OPERATIONAL
20004940,Master Ouro,Diagnósticos,3.2,163,https://salomaozoppi.com.br/,https://maps.google.com/?cid=10648836721435734374,SalomãoZoppi Diagnósticos,(11) 5576-7878,OPERATIONAL
20004982,Master Ouro,Diagnósticos,4.3,25,https://jarbasdoles.com.br/,https://maps.google.com/?cid=16244438145302081558,​Laboratório Jarbas Doles​ - Matriz,(62) 3223-4155,OPERATIONAL
20005008,Master Ouro,Diagnósticos,3.4,14,https://www.cdb.com.br/,https://maps.google.com/?cid=2878037842065390735,CDB Diagnóstico Por Imagem,,OPERATIONAL
20005180,Master Ouro,Diagnósticos,3.9,21,http://www.lustosa.com.br/,https://maps.google.com/?cid=18298414479145438981,Laboratorio Geraldo Lustosa,(31) 2104-1234,OPERATIONAL
20005210,Master Ouro,Diagnósticos,2.6,175,http://www.clinicasaocamilo.com.br/,https://maps.google.com/?cid=17545771084455578131,Clínica São Camilo - Unidade Marista,(62) 3091-9191,OPERATIONAL
20005245,Master Ouro,Diagnósticos,3.4,189,https://clinicasaomatheusgo.com.br/,https://maps.google.com/?cid=13120812433003280100,Clínica São Matheus - Unidade I,(62) 3224-2002,OPERATIONAL
20005288,Master Ouro,Clinicas,2.9,18,http://orthomaster.com.br/,https://maps.google.com/?cid=1646668380225992148,Ortho Master,(11) 3683-1826,OPERATIONAL
20005296,Master Ouro,Diagnósticos,3.6,155,http://carloschagas.com.br/,https://maps.google.com/?cid=3115103256303254103,Laboratório Carlos Chagas/Grupo Sabin - Matriz,(65) 3901-4700,OPERATIONAL
20005342,Master Ouro,Clinicas,3.7,3,,https://maps.google.com/?cid=11008163593798023305,Oncoclin Oncologia Clínica,(11) 2092-4758,OPERATIONAL
20005350,Master Ouro,Diagnósticos,3.7,6,http://diagcel.com.br/,https://maps.google.com/?cid=972509063989996822,Lab Diagcel,(11) 3087-3333,OPERATIONAL
20005695,Master Ouro,Diagnósticos,3.8,34,http://www.rougetperez.com.br/,https://maps.google.com/?cid=13873971060877162393,Laboratório Dr. Rouget Perez,(53) 3225-4488,OPERATIONAL
20005768,Master Ouro,Diagnósticos,4.6,24,http://www.labcostacurta.com.br/,https://maps.google.com/?cid=9012598809734367694,Laboratório de Análises Clínicas Dr. Costacurta Ltda.,(92) 3232-0200,OPERATIONAL
20005822,Master Ouro,Diagnósticos,4.1,40,http://www.leaodemoura.com.br/,https://maps.google.com/?cid=5089217251520607934,Leão de Moura - Medicina Diagnóstica - Unidade Santos / Matriz,(13) 3226-0600,OPERATIONAL
20006020,Master Ouro,Diagnósticos,1.8,17,,https://maps.google.com/?cid=11965222340709089250,Clínica da Imagem Diagnósticos Médicos,(21) 2537-9344,OPERATIONAL
20006055,Master Ouro,Diagnósticos,3.0,5,http://laboratoriomulier.com.br/,https://maps.google.com/?cid=222942773676254268,Laboratório Mulier,(61) 3247-5200,OPERATIONAL
20006071,Master Ouro,Diagnósticos,2.7,280,http://radioclinica.com.br/,https://maps.google.com/?cid=189801226691307160,Radioclínica TADAO MORI,(11) 5576-9222,OPERATIONAL
20006110,Master Ouro,Diagnósticos,3.1,25,,https://maps.google.com/?cid=14880818345752144479,Eco Center,(21) 2742-0100,OPERATIONAL
20006241,Master Ouro,Diagnósticos,3.1,67,http://www.scoppdiagnosticos.com.br/,https://maps.google.com/?cid=17080279411503031386,SCOPP Diagnósticos | Unidade Prestige,(11) 3874-6666,OPERATIONAL
20007990,Master Ouro,Diagnósticos,3.1,245,http://www.luciloavila.com.br/,https://maps.google.com/?cid=14842419808449892132,Centro Diagnóstico Lucilo Ávila - Centro,(81) 3217-7888,OPERATIONAL
20008031,Master Ouro,Diagnósticos,3.0,42,https://labcor.med.br/,https://maps.google.com/?cid=18363413849578993280,Labcor,(11) 3275-0148,OPERATIONAL
20008112,Master Ouro,Diagnósticos,,0,,https://maps.google.com/?cid=8937284523162276676,Laboratório de Anatomia Patológica e Citologia,,OPERATIONAL
