contract,category
20112568,Serviço De Diagnóstico
20112569,Serviço De Diagnóstico
20112575,Serviço De Diagnóstico
20112577,Serviço De Diagnóstico
20112579,Serviço De Diagnóstico
20112588,Consultório Médico/Clínica
20112588,Serviço De Terapia
20112605,Serviço De Diagnóstico
20112612,Serviço De Diagnóstico
20112622,Serviço De Diagnóstico
20112634,Serviço De Diagnóstico
20112637,Serviço De Diagnóstico
20112642,Serviço De Diagnóstico
20112648,Serviço De Diagnóstico
20112649,Serviço De Diagnóstico
20112650,Serviço De Diagnóstico
20112652,Serviço De Diagnóstico
20112657,Serviço De Diagnóstico
20112672,Serviço De Diagnóstico
20112674,Serviço De Diagnóstico
20112678,Serviço De Diagnóstico
20112684,Serviço De Diagnóstico
20112687,Serviço De Diagnóstico
20112692,Serviço De Diagnóstico
20112697,Serviço De Diagnóstico
20112705,Serviço De Diagnóstico
20112706,Serviço De Diagnóstico
20112707,Serviço De Diagnóstico
20112708,Serviço De Diagnóstico
20112712,Serviço De Diagnóstico
20112722,Serviço De Diagnóstico
20112723,Serviço De Diagnóstico
20112724,Serviço De Diagnóstico
20112729,Serviço De Diagnóstico
20112736,Serviço De Diagnóstico
20112737,Serviço De Diagnóstico
20112746,Serviço De Diagnóstico
20112747,Consultório Médico/Clínica
20112748,Serviço De Diagnóstico
20112752,Serviço De Diagnóstico
20112753,Serviço De Diagnóstico
20112755,Serviço De Diagnóstico
20112758,Serviço De Diagnóstico
20112759,Serviço De Diagnóstico
20112763,Serviço De Diagnóstico
20112764,Serviço De Diagnóstico
20112773,Serviço De Diagnóstico
20112774,Serviço De Diagnóstico
20112778,Serviço De Diagnóstico
20112779,Serviço De Diagnóstico
20112780,Serviço De Diagnóstico
20112781,Serviço De Diagnóstico
20112784,Serviço De Diagnóstico
20112788,Serviço De Diagnóstico
20112800,Serviço De Diagnóstico
20112803,Serviço De Diagnóstico
20112805,Serviço De Terapia
20112808,Serviço De Diagnóstico
20112809,Serviço De Diagnóstico
20112811,Serviço De Diagnóstico
20112813,Serviço De Diagnóstico
20112815,Consultório Médico/Clínica
20112815,Serviço De Terapia
20112816,Serviço De Diagnóstico
20112817,Serviço De Diagnóstico
20112820,Serviço De Diagnóstico
20112824,Serviço De Diagnóstico
20112827,Serviço De Diagnóstico
20112829,Serviço De Diagnóstico
20112830,Serviço De Terapia
20112831,Serviço De Diagnóstico
20112832,Serviço De Diagnóstico
20112833,Serviço De Diagnóstico
20112834,Serviço De Diagnóstico
20112835,Serviço De Diagnóstico
20112837,Consultório Médico/Clínica
20112837,Serviço De Diagnóstico
20112845,Serviço De Diagnóstico
20112846,Serviço De Diagnóstico
20112851,Serviço De Diagnóstico
20112853,Serviço De Diagnóstico
20112855,Serviço De Diagnóstico
20112862,Serviço De Terapia
20112867,Serviço De Diagnóstico
20112875,Serviço De Diagnóstico
20112886,Serviço De Diagnóstico
20112888,Serviço De Diagnóstico
20112889,Serviço De Diagnóstico
20112890,Serviço De Diagnóstico
20112893,Serviço De Terapia
20112913,Serviço De Diagnóstico
20112914,Serviço De Diagnóstico
20112918,Serviço De Diagnóstico
20112923,Serviço De Diagnóstico
20112927,Serviço De Diagnóstico
20112929,Serviço De Diagnóstico
20112939,Serviço De Diagnóstico
20112947,Serviço De Diagnóstico
20112949,Serviço De Diagnóstico
20112953,Consultório Médico/Clínica
20112953,Serviço De Diagnóstico
20112953,Serviço De Terapia
20112954,Serviço De Diagnóstico
20112956,Serviço De Diagnóstico
20112964,Serviço De Diagnóstico
20112966,Serviço De Diagnóstico
20112974,Serviço De Diagnóstico
20112975,Serviço De Diagnóstico
20112977,Serviço De Diagnóstico
20112978,Serviço De Diagnóstico
20112979,Consultório Médico/Clínica
20112979,Serviço De Diagnóstico
20112981,Serviço De Diagnóstico
20112983,Serviço De Diagnóstico
20112984,Serviço De Diagnóstico
20112987,Serviço De Diagnóstico
20112988,Serviço De Diagnóstico
20112992,Serviço De Diagnóstico
20112999,Serviço De Diagnóstico
20113002,Serviço De Diagnóstico
20113006,Serviço De Diagnóstico
20113011,Consultório Médico/Clínica
20113011,Serviço De Diagnóstico
20113012,Serviço De Diagnóstico
20113013,Serviço De Diagnóstico
20113016,Serviço De Diagnóstico
20113018,Serviço De Diagnóstico
20113024,Serviço De Diagnóstico
20113026,Serviço De Diagnóstico
20113028,Serviço De Diagnóstico
20113034,Serviço De Diagnóstico
20113039,Serviço De Diagnóstico
20113040,Serviço De Diagnóstico
20113041,Serviço De Diagnóstico
20113047,Serviço De Diagnóstico
20113049,Serviço De Diagnóstico
20113057,Serviço De Diagnóstico
20113059,Serviço De Diagnóstico
20113066,Serviço De Diagnóstico
20113076,Serviço De Diagnóstico
20113082,Serviço De Diagnóstico
20113083,Serviço De Diagnóstico
20113088,Serviço De Diagnóstico
20113097,Serviço De Diagnóstico
20113103,Serviço De Diagnóstico
20113108,Serviço De Diagnóstico
20113143,Serviço De Diagnóstico
20113145,Serviço De Diagnóstico
20113146,Serviço De Diagnóstico
20113159,Serviço De Diagnóstico
20113171,Serviço De Diagnóstico
20113190,Serviço De Diagnóstico
20113196,Serviço De Diagnóstico
20113199,Serviço De Diagnóstico
20113206,Serviço De Diagnóstico
20113208,Serviço De Terapia
20113209,Serviço De Diagnóstico
20113213,Serviço De Terapia
20113214,Serviço De Diagnóstico
20113215,Serviço De Diagnóstico
20113216,Serviço De Diagnóstico
20113217,Serviço De Terapia
20113219,Serviço De Diagnóstico
20113219,Serviço De Terapia
20113222,Serviço De Diagnóstico
20113225,Serviço De Diagnóstico
20113226,Serviço De Diagnóstico
20113227,Serviço De Diagnóstico
20113228,Serviço De Diagnóstico
20113229,Serviço De Diagnóstico
20113230,Serviço De Diagnóstico
20113231,Serviço De Diagnóstico
20113232,Serviço De Diagnóstico
20113233,Serviço De Diagnóstico
20113234,Serviço De Diagnóstico
20113245,Serviço De Diagnóstico
20113246,Serviço De Diagnóstico
20113247,Consultório Médico/Clínica
20113247,Serviço De Terapia
20113248,Serviço De Diagnóstico
20113249,Serviço De Diagnóstico
20113251,Serviço De Diagnóstico
20113254,Serviço De Diagnóstico
20113256,Serviço De Diagnóstico
20113259,Consultório Médico/Clínica
20113259,Serviço De Diagnóstico
20113259,Serviço De Terapia
20113261,Serviço De Diagnóstico
20113262,Serviço De Diagnóstico
20113263,Serviço De Diagnóstico
20113266,Serviço De Diagnóstico
20113267,Serviço De Diagnóstico
20113268,Serviço De Diagnóstico
20113269,Serviço De Diagnóstico
20113270,Serviço De Diagnóstico
20113273,Serviço De Diagnóstico
20113274,Serviço De Diagnóstico
20113275,Serviço De Diagnóstico
20113277,Serviço De Diagnóstico
20113278,Serviço De Diagnóstico
20113279,Serviço De Diagnóstico
20113280,Serviço De Diagnóstico
20113281,Serviço De Diagnóstico
20113282,Serviço De Diagnóstico
20113284,Serviço De Diagnóstico
20113285,Serviço De Diagnóstico
20113286,Serviço De Diagnóstico
20113287,Serviço De Diagnóstico
20113288,Serviço De Terapia
20113289,Serviço De Diagnóstico
20113290,Serviço De Diagnóstico
20113291,Serviço De Diagnóstico
20113292,Serviço De Diagnóstico
20113293,Consultório Médico/Clínica
20113293,Serviço De Diagnóstico
20113294,Serviço De Diagnóstico
20113295,Serviço De Diagnóstico
20113296,Serviço De Diagnóstico
20113297,Serviço De Diagnóstico
20113298,Serviço De Diagnóstico
20113299,Serviço De Diagnóstico
20113300,Serviço De Diagnóstico
20113301,Serviço De Diagnóstico
20113302,Consultório Médico/Clínica
20113302,Serviço De Diagnóstico
20113303,Serviço De Diagnóstico
20113304,Serviço De Diagnóstico
20113305,Serviço De Diagnóstico
20113306,Serviço De Diagnóstico
20113307,Serviço De Diagnóstico
20113309,Serviço De Diagnóstico
20113311,Consultório Médico/Clínica
20113311,Serviço De Diagnóstico
20113313,Serviço De Diagnóstico
20113314,Serviço De Diagnóstico
20113315,Serviço De Diagnóstico
20113316,Serviço De Diagnóstico
20113318,Serviço De Diagnóstico
20113320,Serviço De Diagnóstico
20113321,Serviço De Diagnóstico
20113322,Serviço De Diagnóstico
20113323,Serviço De Diagnóstico
20113324,Serviço De Diagnóstico
20113325,Serviço De Diagnóstico
20113326,Serviço De Diagnóstico
20113327,Serviço De Diagnóstico
20113328,Serviço De Diagnóstico
20113330,Serviço De Diagnóstico
20113331,Serviço De Diagnóstico
20113332,Serviço De Diagnóstico
20113333,Serviço De Diagnóstico
20113334,Serviço De Diagnóstico
20113335,Serviço De Diagnóstico
